component,gene_index,loading,abs_loading,novelty_weight,gene
6,1268,-0.03653429744076794,0.03653429744076794,0.7453726863431716,PLEKHJ1
6,1966,0.03613932162363929,0.03613932162363929,0.6708354177088545,YWHAG
6,1599,0.036055346881729504,0.036055346881729504,0.4192096048024012,SMIM14
6,131,0.03590264879559555,0.03590264879559555,0.6898449224612306,ATP6V0D1
6,718,0.0357129701755964,0.0357129701755964,0.6283141570785393,GTF3C6
6,1425,-0.03568259206626382,0.03568259206626382,0.887943971985993,RARA
7,429,0.3635559695884619,0.3635559695884619,0.9119559779889945,CXCR4
7,70,-0.2977349181266194,0.2977349181266194,0.9029514757378689,APOC1
7,698,0.20116699926633957,0.20116699926633957,0.6583291645822911,GPI
7,845,0.14742670169183184,0.14742670169183184,0.9484742371185593,IGHG2
7,189,0.14713835256476707,0.14713835256476707,0.8499249624812406,C15orf48
7,1400,-0.13923015447350515,0.13923015447350515,0.6178089044522261,RAB1B
7,846,-0.13303258379782026,0.13303258379782026,0.8754377188594297,IGHG3
7,108,-0.13234336858092277,0.13234336858092277,0.8584292146073036,ARPC4
7,1637,-0.13180178499923037,0.13180178499923037,0.45672836418209106,SPP1
7,1574,0.1118851180836213,0.1118851180836213,0.9299649824912456,SLC16A3
7,594,-0.11079144653998423,0.11079144653998423,0.7813906953476738,EVL
7,128,-0.10827721921082313,0.10827721921082313,0.7963981990995498,ATP6AP1
7,1094,-0.10644929723951706,0.10644929723951706,0.6608304152076039,NDUFA13
7,953,-0.10524801959744562,0.10524801959744562,0.5977988994497249,LRRC59
7,927,-0.10523979931731377,0.10523979931731377,0.8989494747373686,LAPTM5
7,192,0.0953180386555646,0.0953180386555646,0.9879939969984992,C1QA
7,969,-0.09168267388833627,0.09168267388833627,0.45972986493246626,LUC7L3
7,1668,0.0910032533019762,0.0910032533019762,0.6963481740870435,SSR1
7,1353,-0.08389761323535178,0.08389761323535178,0.32266133066533265,PSMB3
7,1523,-0.07942405865933598,0.07942405865933598,0.30265132566283137,SDC1
7,1582,0.07737311437041348,0.07737311437041348,0.6453226613306653,SLC38A1
7,19,0.0745407400011111,0.0745407400011111,0.7648824412206103,ADAR
7,1837,-0.07424559864746275,0.07424559864746275,0.7303651825912956,TRAPPC2L
7,933,0.07348088566662868,0.07348088566662868,0.9399699849924963,LDLRAD4
7,1507,-0.07312936397971281,0.07312936397971281,0.13156578289144572,S100A9
7,1345,-0.07141562268945459,0.07141562268945459,0.8414207103551776,PSMA1
