gene,fold_change,pvalue_adjusted,negative_log10_qvalue,significant,direction
USP6NL,-0.00048370624135925244,0.9999999974159123,1.1222550396861084e-09,False,other
ADIRF,-0.0007486453641085619,0.9999999974159123,1.1222550396861084e-09,False,other
ADD3,-0.001043136512064738,0.9999999974159123,1.1222550396861084e-09,False,other
MKI67,-0.0002346677901483643,0.9999999974159123,1.1222550396861084e-09,False,other
RGS10,-0.0005867600567045807,0.9999999974159123,1.1222550396861084e-09,False,other
DGKZ,3.3155013302171854e-05,0.9999999974159123,1.1222550396861084e-09,False,other
EIF3M,0.00017412983615389122,0.9999999974159123,1.1222550396861084e-09,False,other
SERPING1,0.0008436060926250918,0.9999999974159123,1.1222550396861084e-09,False,other
SSRP1,-8.434576248874531e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SESN3,-0.00018236381066680935,0.9999999974159123,1.1222550396861084e-09,False,other
SERPINH1,-0.00027873663960357314,0.9999999974159123,1.1222550396861084e-09,False,other
RPS3,0.006181006089636898,0.9999999974159123,1.1222550396861084e-09,False,other
ATM,-1.3839235845823639e-05,0.9999999974159123,1.1222550396861084e-09,False,other
ST14,5.945684292142303e-05,0.9999999974159123,1.1222550396861084e-09,False,other
ADAM33,0.00018388921876495972,0.9999999974159123,1.1222550396861084e-09,False,other
MS4A2,9.38567232314886e-06,0.9999999974159123,1.1222550396861084e-09,False,other
ESAM,-0.00044491361245706587,0.9999999974159123,1.1222550396861084e-09,False,other
TAGLN,0.000424803334066165,0.9999999974159123,1.1222550396861084e-09,False,other
FERMT3,2.950307203801114e-05,0.9999999974159123,1.1222550396861084e-09,False,other
FAU,0.006096583158119784,0.9999999974159123,1.1222550396861084e-09,False,other
VPS51,-0.00025374542804933176,0.9999999974159123,1.1222550396861084e-09,False,other
PPP4C,0.00023872693119777327,0.9999999974159123,1.1222550396861084e-09,False,other
KLRF1,-4.128071584554824e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CLEC1A,0.0001829242726970456,0.9999999974159123,1.1222550396861084e-09,False,other
SAP18,-0.0004160342559756461,0.9999999974159123,1.1222550396861084e-09,False,other
PDCD4,0.00024339892725938617,0.9999999974159123,1.1222550396861084e-09,False,other
ADRA2A,0.002460501422449954,0.00634673212974527,2.197449831137512,True,other
PRSS23,-1.4295302709035895e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CCT5,3.336363733818376e-05,0.9999999974159123,1.1222550396861084e-09,False,other
IL18,-0.00010536974905284158,0.9999999974159123,1.1222550396861084e-09,False,other
PIP4K2A,0.00041705635502971294,0.9999999974159123,1.1222550396861084e-09,False,other
CRIM1,0.000992360932730585,0.9505791222411832,0.022011728432822578,False,other
NGLY1,-3.5397043033069675e-05,0.9999999974159123,1.1222550396861084e-09,False,other
MAGI1,-0.0005487514436047468,0.9913384651764036,0.003778042323883046,False,other
CCDC3,0.00023492040415273516,0.9999999974159123,1.1222550396861084e-09,False,other
TEX9,-6.866318913828669e-05,0.9999999974159123,1.1222550396861084e-09,False,other
EDNRA,0.00024240840148761957,0.9999999974159123,1.1222550396861084e-09,False,other
FLI1,0.00026904980263996875,0.9999999974159123,1.1222550396861084e-09,False,other
CENPU,-2.880034645062063e-05,0.9999999974159123,1.1222550396861084e-09,False,other
ZNF385D,-4.835109991313828e-05,0.9999999974159123,1.1222550396861084e-09,False,other
GFRA1,0.0002516641620559784,0.9999999974159123,1.1222550396861084e-09,False,other
TIAL1,1.2460464273972294e-05,0.9999999974159123,1.1222550396861084e-09,False,other
KCNE4,0.00028270304439885485,0.9999999974159123,1.1222550396861084e-09,False,other
AP1S3,3.297411047619315e-06,0.9999999974159123,1.1222550396861084e-09,False,other
