rank,gene,stat,hit,running_es
95,EPHB4,0.07608983788962141,False,0.38972154645708673
96,ASCL2,0.07315626874700458,False,0.3876681583667377
97,MMP9,0.0723222169893592,True,0.39977695365823007
98,BRD4,0.07073606354160394,False,0.397723565567881
99,IKBKB,0.06836715439892155,False,0.39567017747753197
100,IRS1,0.06836715439892155,False,0.3936167893871829
101,PDK4,0.06836715439892155,True,0.40506339475604486
102,CD14,0.06833003349407818,True,0.41650378503006463
103,ZEB1,0.06301338005090414,False,0.4144503969397156
104,CDH1,0.06301338005090412,False,0.41239700884936653
105,BMI1,0.06301338005090412,False,0.4103436207590175
106,KIT,0.06301338005090412,False,0.40829023266866843
107,ITK,0.06301338005090412,False,0.4062368445783194
108,ELANE,0.06301338005090412,False,0.4041834564879703
109,TGFB3,0.06301338005090412,False,0.4021300683976213
110,Blank-41,0.06301338005090412,False,0.4000766803072722
111,KIR3DL2,0.06301338005090412,False,0.3980232922169232
112,PGF,0.06301338005090412,False,0.3959699041265741
113,FGFR2,0.06301338005090412,False,0.3939165160362251
114,BMP1,0.06301338005090412,False,0.391863127945876
115,MMRN1,0.06301338005090412,False,0.38980973985552697
116,LDHA,0.06301338005090412,False,0.3877563517651779
117,PLA2G2A,0.06301338005090412,False,0.38570296367482887
118,PDGFB,0.06301338005090412,False,0.3836495755844798
119,FLT1,0.06301338005090412,False,0.38159618749413077
120,CD8B,0.06301338005090412,False,0.3795427994037817
121,PMS2,0.06301338005090411,False,0.37748941131343267
122,WWTR1,0.06301338005090411,False,0.3754360232230836
123,FOXM1,0.06301338005090411,False,0.37338263513273456
124,IRF5,0.06301338005090411,False,0.3713292470423855
125,IL3RA,0.06301338005090411,False,0.36927585895203646
126,MAFB,0.056863034958823166,True,0.3787963476570588
127,TLR1,0.05529069656020427,False,0.3767429595667097
128,EPHB3,0.04993692221218682,False,0.37468957147636067
129,TMEM37,0.04993692221218682,True,0.38305043199372446
130,TNF,0.04993692221218681,False,0.3809970439033754
131,COL5A1,0.049936922212186804,False,0.37894365581302636
132,SMARCA4,0.049936922212186804,False,0.3768902677226773
133,CD27,0.049936922212186804,False,0.37483687963232826
134,DNMT1,0.049936922212186804,False,0.3727834915419792
135,ATF3,0.049936922212186804,False,0.37073010345163016
136,FCRL5,0.049936922212186804,False,0.3686767153612811
137,NOTCH1,0.04458314786416939,False,0.36662332727093205
138,IDO1,0.04458314786416938,False,0.364569939180583
139,PTK2,0.04458314786416938,False,0.36251655109023395
140,SRC,0.044583147864169365,False,0.3604631629998849
141,MPO,0.04458314786416936,False,0.35840977490953585
142,CDKN1B,0.04458314786416934,False,0.3563563868191868
143,FOS,0.04232852594724623,False,0.35430299872883775
144,ITGB2,0.03897501053869201,False,0.3522496106384887
145,CD83,0.03686046437346957,False,0.35019622254813965
146,CD40,0.036860464373469515,True,0.3563677122511359
147,PTEN,0.0368604643734695,False,0.35431432416078684
148,BCL2,0.0368604643734695,False,0.3522609360704378
149,FOSL1,0.0368604643734695,False,0.35020754798008874
150,GPX3,0.03686046437346949,True,0.356379037683085
151,CREBBP,0.03686046437346946,False,0.35432564959273594
152,NFKB1,0.03629580437353505,False,0.3522722615023869
153,HLA-DMA,0.03537749949546598,True,0.35819546072315334
154,VEGFA,0.03278718443302919,False,0.3561420726328043
155,SERPINE1,0.031506690025452075,False,0.35408868454245523
156,HRAS,0.031506690025452075,False,0.3520352964521062
157,EPHA4,0.03150669002545206,False,0.34998190836175713
158,EGR1,0.03150669002545206,True,0.35525702402762277
159,Blank-36,0.03150669002545206,False,0.3532036359372737
160,IL5RA,0.03150669002545206,False,0.35115024784692467
161,Blank-26,0.03150669002545206,False,0.3490968597565756
162,MUC1,0.03150669002545206,False,0.34704347166622657
163,LRP6,0.03150669002545206,False,0.3449900835758775
164,TNFSF9,0.03150669002545206,False,0.34293669548552846
165,CXCR6,0.03150669002545206,False,0.3408833073951794
166,Blank-6,0.03150669002545206,False,0.33882991930483036
167,TBX21,0.03150669002545206,False,0.3367765312144813
168,TWIST1,0.03150669002545206,False,0.33472314312413226
169,NOS3,0.03150669002545206,False,0.3326697550337832
170,PLOD2,0.03150669002545206,False,0.33061636694343416
171,MCM2,0.03150669002545206,False,0.3285629788530851
172,LEF1,0.03150669002545206,False,0.32650959076273606
173,CXCL9,0.03150669002545206,True,0.3317847064286017
174,GNLY,0.03150669002545206,False,0.32973131833825264
175,LAMC2,0.03150669002545206,False,0.3276779302479036
176,EGF,0.03150669002545206,False,0.32562454215755454
177,Blank-16,0.03150669002545206,False,0.3235711540672055
178,Blank-15,0.03150669002545206,False,0.32151776597685644
179,SIGLEC1,0.03150669002545206,True,0.3267928816427221
180,EGFR,0.03150669002545206,False,0.324739493552373
181,KLRG1,0.03150669002545206,False,0.322686105462024
182,ITGA5,0.03150669002545206,False,0.3206327173716749
183,Blank-5,0.03150669002545206,False,0.3185793292813259
184,PAX5,0.03150669002545206,False,0.3165259411909768
185,Blank-4,0.03150669002545206,False,0.31447255310062777
186,MMP2,0.03150669002545206,False,0.3124191650102787
187,CTSG,0.03150669002545206,False,0.31036577691992967
188,IL22,0.03150669002545206,False,0.3083123888295806
189,CXCR3,0.03150669002545206,False,0.30625900073923157
190,CD28,0.03150669002545206,False,0.3042056126488825
191,ROR1,0.03150669002545206,False,0.30215222455853347
192,CCR3,0.03150669002545206,False,0.3000988364681844
193,PKIB,0.03150669002545206,False,0.29804544837783536
194,KITLG,0.03150669002545206,False,0.2959920602874863
195,MTOR,0.03150669002545206,False,0.29393867219713726
196,CCR10,0.03150669002545206,False,0.2918852841067882
197,NF1,0.03150669002545206,False,0.28983189601643916
198,FZD7,0.03150669002545206,False,0.2877785079260901
199,PREX2,0.03150669002545206,False,0.28572511983574106
200,Blank-18,0.03150669002545206,False,0.283671731745392
201,Blank-28,0.03150669002545206,False,0.28161834365504296
202,STAP1,0.03150669002545206,False,0.2795649555646939
203,FLI1,0.03150669002545206,False,0.27751156747434486
204,CCR4,0.03150669002545206,False,0.2754581793839958
205,KLRF1,0.03150669002545206,False,0.27340479129364675
206,CDH5,0.03150669002545206,False,0.2713514032032977
207,CXCL11,0.03150669002545206,True,0.27662651886916334
208,ELN,0.03150669002545206,False,0.2745731307788143
209,CD160,0.03150669002545206,False,0.27251974268846524
210,CTSW,0.03150669002545206,False,0.2704663545981162
211,VEGFC,0.03150669002545206,False,0.26841296650776714
212,PRF1,0.03150669002545206,False,0.2663595784174181
213,IFITM1,0.03150669002545206,False,0.26430619032706903
214,NCAM1,0.03150669002545206,False,0.26225280223672
215,CCL7,0.03150669002545206,False,0.26019941414637093
216,TIGIT,0.03150669002545206,False,0.2581460260560219
217,Blank-48,0.03150669002545206,False,0.25609263796567283
218,Blank-47,0.03150669002545206,False,0.2540392498753238
219,MMRN2,0.03150669002545206,False,0.25198586178497473
220,IL23A,0.03150669002545206,False,0.24993247369462565
221,IFNG,0.03150669002545206,False,0.24787908560427657
222,IL2RB,0.03150669002545206,False,0.2458256975139275
223,CD226,0.03150669002545206,False,0.24377230942357841
224,TP63,0.03150669002545206,False,0.24171892133322934
225,TLR9,0.03150669002545206,False,0.23966553324288026
226,TGM2,0.03150669002545205,True,0.24494064890874592
227,SRPRB,0.03150669002545205,False,0.24288726081839684
228,ITGA1,0.03150669002545205,False,0.24083387272804777
229,IL13,0.03150669002545205,False,0.2387804846376987
230,TP53,0.03150669002545205,False,0.2367270965473496
231,MS4A1,0.03150669002545205,False,0.23467370845700053
232,DDIT3,0.03150669002545205,False,0.23262032036665145
233,HGF,0.03150669002545205,False,0.23056693227630237
234,MSH2,0.03150669002545205,False,0.2285135441859533
