MMADHC	MMADHC
MMP11	MMP11
MMP14	MMP14
MMP2	MMP2
MOB1A	MOB1A
MOB4	MOB4
MORF4L1	MORF4L1
MORF4L2	MORF4L2
MPC1	MPC1
MPC2	MPC2
MPG	MPG
MPHOSPH8	MPHOSPH8
MPLKIP	MPLKIP
MS4A1	MS4A1
MS4A6A	MS4A6A
MSN	MSN
MT1E	MT1E
MT1X	MT1X
MT2A	MT2A
MTCH1	MTCH1
MTDH	MTDH
MTHFD2	MTHFD2
MTPN	MTPN
MTRNR2L8	MTRNR2L8
MUCL1	MUCL1
MXRA8	MXRA8
MYADM	MYADM
MYC	MYC
MYCBP2	MYCBP2
MYDGF	MYDGF
MYH9	MYH9
MYL12A	MYL12A
MYL12B	MYL12B
MYL9	MYL9
MYLIP	MYLIP
MYLK	MYLK
MZB1	MZB1
N4BP2L2	N4BP2L2
NAA20	NAA20
NAA38	NAA38
NAA50	NAA50
NABP1	NABP1
NAMPT	NAMPT
NANS	NANS
NAP1L4	NAP1L4
NAPA	NAPA
NARF	NARF
NASP	NASP
NBEAL1	NBEAL1
NCF1	NCF1
NCL	NCL
NCOA7	NCOA7
NCOR1	NCOR1
NDFIP1	NDFIP1
NDUFA1	NDUFA1
NDUFA10	NDUFA10
NDUFA11	NDUFA11
NDUFA12	NDUFA12
NDUFA13	NDUFA13
NDUFA2	NDUFA2
NDUFA3	NDUFA3
NDUFA4	NDUFA4
NDUFA4L2	NDUFA4L2
NDUFA6	NDUFA6
NDUFAB1	NDUFAB1
NDUFAF3	NDUFAF3
NDUFB10	NDUFB10
NDUFB11	NDUFB11
NDUFB2	NDUFB2
NDUFB5	NDUFB5
NDUFB6	NDUFB6
NDUFB7	NDUFB7
NDUFB9	NDUFB9
NDUFC1	NDUFC1
NDUFC2	NDUFC2
NDUFS3	NDUFS3
NDUFS4	NDUFS4
NDUFS5	NDUFS5
NDUFS6	NDUFS6
NDUFS7	NDUFS7
NDUFS8	NDUFS8
NDUFV1	NDUFV1
NDUFV2	NDUFV2
NEDD8	NEDD8
NEDD9	NEDD9
NEMF	NEMF
NET1	NET1
NEU1	NEU1
NFAT5	NFAT5
NFATC2	NFATC2
NFE2L2	NFE2L2
NFIC	NFIC
NFKB2	NFKB2
NFKBIA	NFKBIA
NFKBID	NFKBID
NFKBIZ	NFKBIZ
NGRN	NGRN
NHP2	NHP2
NINJ1	NINJ1
NIPBL	NIPBL
NKG7	NKG7
NKTR	NKTR
NME2	NME2
NME3	NME3
NME4	NME4
NNMT	NNMT
NOL7	NOL7
NONO	NONO
NOP10	NOP10
NOP56	NOP56
NOP58	NOP58
NOSIP	NOSIP
NOTCH3	NOTCH3
NPC2	NPC2
NPDC1	NPDC1
NR1H2	NR1H2
NR3C1	NR3C1
NR4A1	NR4A1
NR4A2	NR4A2
NR4A3	NR4A3
NRDC	NRDC
NREP	NREP
NSA2	NSA2
NT5C	NT5C
NUCB1	NUCB1
NUCB2	NUCB2
NUCKS1	NUCKS1
NUDC	NUDC
NUDCD2	NUDCD2
NUDT21	NUDT21
NUDT4	NUDT4
NUFIP2	NUFIP2
NUP58	NUP58
NUPR1	NUPR1
NUTF2	NUTF2
NXT1	NXT1
OAT	OAT
OAZ1	OAZ1
OCIAD1	OCIAD1
OCIAD2	OCIAD2
ODC1	ODC1
ODF2L	ODF2L
OFD1	OFD1
OGT	OGT
OPTN	OPTN
ORMDL1	ORMDL1
OS9	OS9
OSBPL8	OSBPL8
OSER1	OSER1
OST4	OST4
OSTF1	OSTF1
OTUB1	OTUB1
OXA1L	OXA1L
P4HB	P4HB
PA2G4	PA2G4
PABPC1	PABPC1
PABPC4	PABPC4
PAF1	PAF1
PAFAH1B1	PAFAH1B1
PAIP2	PAIP2
PAK2	PAK2
PALLD	PALLD
PAPOLA	PAPOLA
PARK7	PARK7
PARP14	PARP14
PARP8	PARP8
PCBD1	PCBD1
PCBP1	PCBP1
PCBP2	PCBP2
PCF11	PCF11
PCM1	PCM1
PCMT1	PCMT1
