gene,hvg_score,svg_score,hvg_norm,svg_norm,final_weight,is_sc_hvg,selected_in_plugin
MICU3,0.026555405298061864,0.03910270345013219,0.44201062032343713,0.6793989862418537,0.5607048032826454,False,0
ZDHHC2,0.04055472000506454,0.04908697054978261,0.5152667149408641,0.733586772869901,0.6244267439053826,False,0
CNOT7,0.2304275944926748,0.031035384294084426,0.8870987207337678,0.6238233164373642,0.755461018585566,False,0
VPS37A,0.1101827557818801,0.002648597081011965,0.7393193338160753,0.3697803524016413,0.5545498431088582,False,0
MTMR7,0.00013380175192718313,0.0,0.11652184407434227,0.2035662563359884,0.16004405020516532,False,0
SLC7A2,0.01825616853945915,0.0,0.3916244267439054,0.2035662563359884,0.29759534153994693,False,0
PDGFRL,0.1419495963060492,0.11828087067316853,0.7976707699734492,0.897598358677287,0.8476345643253681,True,0
MTUS1,0.16570858136491987,0.15727555090273354,0.8281438571083756,0.9323557808351436,0.8802498189717596,False,0
FGL1,0.00043660647767372016,0.0,0.14373642288196958,0.2035662563359884,0.173651339608979,False,0
PCM1,0.3286067544142289,0.03753907485405798,0.9341660632391986,0.6696838040067584,0.8019249336229786,False,0
ASAH1,0.3999424608336157,0.22873949698174403,0.9551049963794352,0.9622857832488535,0.9586953898141444,True,1
NAT1,0.018474333407543272,0.025501156384474668,0.39295196717354575,0.5773594013999517,0.4851556842867487,False,0
PSD3,0.02505780097946428,0.01980639777554317,0.4331402365435675,0.5249215544291577,0.4790308954863626,False,0
SH2D4A,0.012371122920581307,0.09805950334357742,0.3479966208061791,0.8703837798696596,0.6091902003379194,False,0
CSGALNACT1,0.07897042514542779,0.09348099337770878,0.6562877142167511,0.8624788800386194,0.7593832971276853,False,0
INTS10,0.14953073002119951,0.034676655481313975,0.8087738353849867,0.6488052136133237,0.7287895244991551,False,0
LPL,0.03368689555168486,0.16097165110295403,0.48135409123823314,0.9342264059860005,0.7077902486121168,True,0
SLC18A1,0.00017896257311095928,0.0,0.12231474776731836,0.2035662563359884,0.1629405020516534,False,0
