scene,scene_index,group,marker_percentile
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9317687286291576
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9790177183711533
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8972645321728319
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.912496114392291
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9581908610506683
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9763755051290022
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9698476841778054
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8694435809760647
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9328566987876904
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.995492695057507
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8590301523158222
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8534348772147964
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9149829033260802
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9835250233136462
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.865557973267019
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9741995648119366
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9693814112527199
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9777743239042587
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9734224432701275
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8894933167547404
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8884053465962076
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9403170655890581
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9984457569163817
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9755983835871931
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9098539011501399
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.902548958657134
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9002175940317065
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9508859185576625
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9092322039166926
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9832141746969226
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9421821572894
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.953061858874728
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9700031084861672
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8930680758470625
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9056574448243705
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8733291886851103
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8640037301834007
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8650917003419335
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9535281317998134
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9768417780540877
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9314578800124339
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8848305875038857
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.977463475287535
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9361206092632888
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.981038234379857
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9626981659931614
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9572583152004973
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8887161952129313
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.92772769661175
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9839912962387317
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8784581908610507
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8860739819707802
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9480882810071495
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8615169412496114
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9034815045073049
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9973577867578489
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8907367112216351
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9978240596829344
