rank,gene,stat,hit,running_es,CellType
8251,KCNK1,0.00164304138161242,False,0.3955653330136763,CD4 T cells
8252,SOX17,0.0016400639433413744,False,0.3954948906355416,CD4 T cells
8253,SLC45A3,0.0016389864031225443,False,0.3954244482574069,CD4 T cells
8254,ZNF639,0.001638367772102356,False,0.3953540058792722,CD4 T cells
8255,LRRC16B,0.0016363569302484393,False,0.3952835635011375,CD4 T cells
8256,IFFO2,0.0016328729689121246,False,0.39521312112300283,CD4 T cells
8257,SATB2,0.001629028469324112,False,0.39514267874486814,CD4 T cells
8258,ABCB9,0.001627541147172451,False,0.39507223636673344,CD4 T cells
8259,AGRP,0.0016199757810682058,False,0.39500179398859875,CD4 T cells
8260,NDRG4,0.0016186535358428955,False,0.39493135161046405,CD4 T cells
8261,CPAMD8,0.0016119274077937007,False,0.39486090923232936,CD4 T cells
8262,SDPR,0.0016105519607663155,False,0.39479046685419467,CD4 T cells
8263,SLC35A5,0.0016037076711654663,False,0.39472002447605997,CD4 T cells
8264,DKFZP434A062,0.001597199821844697,False,0.3946495820979253,CD4 T cells
8265,EPB41L2,0.001596897840499878,False,0.3945791397197906,CD4 T cells
8266,ZNF295-AS1,0.0015937769785523415,False,0.3945086973416559,CD4 T cells
8267,FOXD3,0.0015927762724459171,False,0.3944382549635212,CD4 T cells
8268,EML2,0.0015912353992462158,False,0.3943678125853865,CD4 T cells
8269,ELL3,0.001589842140674591,False,0.3942973702072518,CD4 T cells
8270,PRICKLE4,0.001582195982336998,False,0.3942269278291171,CD4 T cells
8271,SPACA3,0.001576639711856842,False,0.3941564854509824,CD4 T cells
8272,SERPINB9,0.001573801040649414,True,0.3942185900344175,CD4 T cells
8273,HMSD,0.0015718750655651093,False,0.3941481476562828,CD4 T cells
8274,DIO3,0.0015680247452110052,False,0.3940777052781481,CD4 T cells
8275,SNAP91,0.0015675752656534314,False,0.3940072629000134,CD4 T cells
8276,TFCP2,0.0015641748905181885,False,0.39393682052187873,CD4 T cells
8277,GEMIN7,0.001561686396598816,False,0.39386637814374403,CD4 T cells
8278,ZNF502,0.0015594009310007095,False,0.39379593576560934,CD4 T cells
8279,SYTL5,0.0015580717008560896,False,0.39372549338747465,CD4 T cells
8280,DLX1,0.0015568940434604883,False,0.39365505100933995,CD4 T cells
8281,AMN,0.0015562893822789192,False,0.39358460863120526,CD4 T cells
8282,CCDC85A,0.001552400877699256,False,0.39351416625307056,CD4 T cells
8283,MRPL42,0.0015521347522735596,False,0.39344372387493587,CD4 T cells
8284,RRAD,0.0015360458055511117,False,0.3933732814968012,CD4 T cells
8285,MFAP3,0.0015351921319961548,False,0.3933028391186665,CD4 T cells
8286,COL13A1,0.0015334165655076504,False,0.3932323967405318,CD4 T cells
8287,HCN2,0.0015277955681085587,False,0.3931619543623971,CD4 T cells
8288,DGKI,0.001526656560599804,False,0.3930915119842624,CD4 T cells
8289,CHST2,0.0015260418877005577,False,0.3930210696061277,CD4 T cells
8290,TMEM167A,0.0015228688716888428,False,0.392950627227993,CD4 T cells
8291,LARP4B,0.0015221238136291504,False,0.3928801848498583,CD4 T cells
8292,TUSC3,0.0015219785273075104,False,0.3928097424717236,CD4 T cells
8293,ITGB6,0.0015095057897269726,False,0.39273930009358893,CD4 T cells
8294,TNFSF11,0.0015071053057909012,False,0.39266885771545423,CD4 T cells
8295,GPKOW,0.0015051662921905518,False,0.39259841533731954,CD4 T cells
8296,IFNL1,0.001502960454672575,False,0.39252797295918485,CD4 T cells
8297,TNFSF10,0.0014994442462921143,False,0.39245753058105015,CD4 T cells
8298,EPHX4,0.0014992106007412076,False,0.39238708820291546,CD4 T cells
8299,PXDNL,0.0014980761334300041,False,0.39231664582478076,CD4 T cells
8300,SRCIN1,0.0014976002275943756,False,0.39224620344664607,CD4 T cells
8301,IMPA2,0.0014938164968043566,False,0.3921757610685114,CD4 T cells
8302,CNBD2,0.0014914865605533123,False,0.3921053186903767,CD4 T cells
