method,source_type,receiver_type,coupling_change,bootstrap_se,fdr
SVTuner,NK cells,CD8 T cells,0.00832843425436018,0.00092607894,3.1429283623462307e-18
SVTuner,NK cells,Endothelial cells,0.00622183029590437,0.0009919066,1.5978400571390265e-09
SVTuner,NK cells,Epithelial cells,0.0003919263178522438,0.00017857451,0.04183656160488948
SVTuner,NK cells,Fibroblasts,0.006564765824025083,0.00095309404,2.967897509691803e-11
SVTuner,NK cells,Monocytes and Macrophages,0.004262198706643151,0.0007965342,2.3774488111638575e-07
SVTuner,NK cells,NK cells,0.007593572408387221,0.00097452063,4.7447344648170706e-14
SVTuner,NK cells,PVL,0.004605134234763864,0.00084504724,1.4257426919304197e-07
SVTuner,NK cells,Plasma cells,0.0,0.0,1.0
SVTuner,NK cells,T-cells,0.0017146776406035662,0.00044097268,0.00021687632954657754
SVTuner,NK cells,Abstained,0.005437977660199882,0.00093140424,1.8068320913166546e-08
SVTuner,PVL,B cells,0.002547521066039584,0.0005719647,2.0230035807391135e-05
SVTuner,PVL,CD4 T cells,0.0024005486968449925,0.0006836466,0.000812547552365739
SVTuner,PVL,CD8 T cells,0.0018126592200666273,0.0004095284,2.2639312771390335e-05
SVTuner,PVL,Endothelial cells,0.0035763276504017236,0.00074129924,3.4863378002074747e-06
SVTuner,PVL,Epithelial cells,0.0008818342151675485,0.0004056743,0.04367604073181142
SVTuner,PVL,Fibroblasts,0.00524201450127376,0.0009629428,1.444763838224872e-07
SVTuner,PVL,Monocytes and Macrophages,0.0009798157946306093,0.00035587215,0.009546285877329867
SVTuner,PVL,NK cells,0.0021066039584558107,0.0005605779,0.000342670466138561
SVTuner,PVL,PVL,0.004752106603958455,0.00082388293,2.6262581667535863e-08
SVTuner,PVL,Plasma cells,0.0,0.0,1.0
SVTuner,PVL,T-cells,0.0002449539486576524,0.00014347029,0.12268950377393265
SVTuner,PVL,Abstained,0.0010288065843621398,0.00044267086,0.030823218319639977
SVTuner,Plasma cells,B cells,0.0,0.0,1.0
SVTuner,Plasma cells,CD4 T cells,0.0,0.0,1.0
SVTuner,Plasma cells,CD8 T cells,0.0,0.0,1.0
SVTuner,Plasma cells,Endothelial cells,0.0,0.0,1.0
SVTuner,Plasma cells,Epithelial cells,0.0,0.0,1.0
SVTuner,Plasma cells,Fibroblasts,0.0,0.0,1.0
SVTuner,Plasma cells,Monocytes and Macrophages,0.0,0.0,1.0
SVTuner,Plasma cells,NK cells,0.0,0.0,1.0
SVTuner,Plasma cells,PVL,0.0,0.0,1.0
SVTuner,Plasma cells,Plasma cells,0.0,0.0,1.0
SVTuner,Plasma cells,T-cells,0.0,0.0,1.0
SVTuner,Plasma cells,Abstained,0.0,0.0,1.0
SVTuner,T-cells,B cells,0.000930825004899079,0.0003237531,0.0067628070922179685
SVTuner,T-cells,CD4 T cells,0.0005878894767783658,0.00021075539,0.008639886196590917
SVTuner,T-cells,CD8 T cells,0.0010777973740936702,0.00033906708,0.0025061048759962463
SVTuner,T-cells,Endothelial cells,0.0010777973740936705,0.00032227684,0.0014485010920502145
SVTuner,T-cells,Epithelial cells,4.899078973153047e-05,5.1269722e-05,0.42486206952934985
SVTuner,T-cells,Fibroblasts,0.0009798157946306096,0.00027214584,0.0005890907273028253
SVTuner,T-cells,Monocytes and Macrophages,0.0002449539486576524,0.00015215213,0.1459203901087165
SVTuner,T-cells,NK cells,0.0005878894767783658,0.00020619473,0.007210454329628394
SVTuner,T-cells,PVL,0.0006368802665098961,0.00024232478,0.013582784877343983
SVTuner,T-cells,Plasma cells,0.0,0.0,1.0
SVTuner,T-cells,T-cells,0.0,0.0,1.0
SVTuner,T-cells,Abstained,0.0,0.0,1.0
SVTuner,Abstained,B cells,-0.03483245149911817,0.00428369,3.39452129720107e-15
SVTuner,Abstained,CD4 T cells,-0.03850676072898295,0.0039424943,5.6102229029326056e-21
SVTuner,Abstained,CD8 T cells,-0.039388594944150486,0.0040088007,4.195791150375211e-21
SVTuner,Abstained,Endothelial cells,-0.04012345679012347,0.0036181244,2.0297965873891918e-26
SVTuner,Abstained,Epithelial cells,-0.0036743092298647854,0.0011035731,0.0015096176219888853
SVTuner,Abstained,Fibroblasts,-0.041593180482069364,0.004369486,5.035314076800288e-20
SVTuner,Abstained,Monocytes and Macrophages,-0.026161081716637277,0.0037756998,2.3506052667806125e-11
SVTuner,Abstained,NK cells,-0.03542034097589653,0.0042173625,4.063212602447616e-16
SVTuner,Abstained,PVL,-0.03365667254556143,0.0033890936,2.1999959496922522e-21
SVTuner,Abstained,Plasma cells,-0.014403292181069957,0.0016279132,1.0720707977949567e-17
SVTuner,Abstained,T-cells,-0.008818342151675483,0.0016537692,2.586482384108719e-07
SVTuner,Abstained,Abstained,-0.07231040564373897,0.010502306,2.967897509691803e-11
