scenario,dataset_label,scrna_label,masked_label,method,display_method,cell_type,actual_cell_type,cell_label,feature,NES,P-value,ES,peak_rank,n_cells,n_close,n_far,n_genes_used
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE10,1.4190104843901743,0.06793206793206794,0.6888421733084897,401,4486,2261,2225,9
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE9,0.6039565850009598,0.9590409590409591,0.1347580357016445,372,5018,2510,2508,181
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE10,0.9066626495734232,0.6303696303696303,0.20618928911168088,295,5018,2510,2508,131
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE9,0.2025155829730937,0.996003996003996,0.05118795826454415,179,5018,2515,2503,80
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE10,1.0611496859970526,0.4385614385614386,0.29041800885014946,201,5018,2515,2503,33
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,-2.831589659403052e-13,1.0,-3.8219427622721014e-14,2000,5018,2510,2508,196
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,4.338161579514583,0.000999000999000999,0.5764341075683277,357,5018,2510,2508,223
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE9,0.7839426319944673,0.6383616383616384,0.15927792449123696,408,5023,2513,2510,30
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE10,0.43574209497592414,0.7602397602397603,0.10963796295649945,165,5023,2513,2510,12
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE9,1.3036287563251128,0.07292707292707293,0.5614796639522923,442,2835,1419,1416,20
