curve_order,precision,recall,threshold
227,0.08007224563515954,0.9925373134328358,0.251191362934841
228,0.08012048192771085,0.9925373134328358,0.2511976857338313
229,0.08016877637130802,0.9925373134328358,0.2512926120994241
230,0.08021712907117008,0.9925373134328358,0.2515541290494027
231,0.08026554013277007,0.9925373134328358,0.2518333574926191
232,0.08031400966183574,0.9925373134328358,0.251981667051821
233,0.08036253776435046,0.9925373134328358,0.2523681480796317
234,0.0804111245465538,0.9925373134328358,0.2524123988945519
235,0.08045977011494253,0.9925373134328358,0.2525245731273572
236,0.08050847457627118,0.9925373134328358,0.2525252214399298
237,0.08055723803755299,0.9925373134328358,0.2528318353244145
238,0.08060606060606061,0.9925373134328358,0.2532241387449478
239,0.08065494238932687,0.9925373134328358,0.2532445789243203
240,0.08070388349514564,0.9925373134328358,0.253481921225324
241,0.08075288403157256,0.9925373134328358,0.2535615476082857
242,0.08080194410692589,0.9925373134328358,0.2542838997262596
243,0.08085106382978724,0.9925373134328358,0.2544142116149395
244,0.08090024330900243,0.9925373134328358,0.2547478659908793
245,0.08094948265368229,0.9925373134328358,0.2547905155656339
246,0.08099878197320341,0.9925373134328358,0.2548825735883003
247,0.08104814137720902,0.9925373134328358,0.2549753047623246
248,0.08109756097560976,0.9925373134328358,0.2554266835882476
249,0.0811470408785845,0.9925373134328358,0.2560254095037119
250,0.0811965811965812,0.9925373134328358,0.2560568591183095
251,0.08124618204031765,0.9925373134328358,0.2563212811469655
252,0.0812958435207824,0.9925373134328358,0.2572208202169062
253,0.08134556574923547,0.9925373134328358,0.2572213095331459
254,0.08139534883720931,0.9925373134328358,0.2573801846773591
255,0.08144519289650949,0.9925373134328358,0.2575069734674357
256,0.08149509803921569,0.9925373134328358,0.2578286089691458
257,0.0815450643776824,0.9925373134328358,0.257863295740999
258,0.08159509202453988,0.9925373134328358,0.2578756039292551
259,0.0816451810926949,0.9925373134328358,0.2579722147586257
260,0.08169533169533169,0.9925373134328358,0.2582536010218097
261,0.08174554394591273,0.9925373134328358,0.2583076873737898
262,0.08179581795817958,0.9925373134328358,0.2585573924044925
263,0.08184615384615385,0.9925373134328358,0.2586287138173784
264,0.08189655172413793,0.9925373134328358,0.2591742645170093
265,0.08194701170671596,0.9925373134328358,0.2592573372354795
266,0.08199753390875462,0.9925373134328358,0.2592906865933073
267,0.08204811844540408,0.9925373134328358,0.2593441318106169
268,0.08209876543209876,0.9925373134328358,0.2597277615469249
269,0.08214947498455837,0.9925373134328358,0.259845398803665
270,0.08220024721878863,0.9925373134328358,0.2601272909954992
271,0.08225108225108226,0.9925373134328358,0.2601810043162566
272,0.0823019801980198,0.9925373134328358,0.2605538616174231
273,0.08235294117647059,0.9925373134328358,0.2607366576446091
274,0.08240396530359356,0.9925373134328358,0.2609683542064449
275,0.08245505269683819,0.9925373134328358,0.2609967605760129
276,0.08250620347394541,0.9925373134328358,0.2613277340840737
277,0.08255741775294848,0.9925373134328358,0.2614701709979537
278,0.08260869565217391,0.9925373134328358,0.2615467639205963
279,0.08266003729024239,0.9925373134328358,0.2617343341170005
280,0.08271144278606965,0.9925373134328358,0.2618475418681874
281,0.08276291225886745,0.9925373134328358,0.2619045903342292
282,0.08281444582814446,0.9925373134328358,0.2621618517682794
283,0.08286604361370717,0.9925373134328358,0.2624004399451392
284,0.08291770573566085,0.9925373134328358,0.2627639760800961
285,0.08296943231441048,0.9925373134328358,0.2629283410487854
286,0.08302122347066167,0.9925373134328358,0.2631520073779341
287,0.08307307932542161,0.9925373134328358,0.2632254361319984
288,0.083125,0.9925373134328358,0.2632377687967467
289,0.08317698561601,0.9925373134328358,0.2636846701614175
