curve_order,false_positive_rate,true_positive_rate,threshold
90,0.08323831242873432,0.47761194029850745,0.5378489241352193
91,0.08323831242873432,0.4925373134328358,0.5369071841530824
92,0.0838084378563284,0.4925373134328358,0.5368209542594535
93,0.0838084378563284,0.5,0.5367673354405557
94,0.08779931584948689,0.5,0.5323729132184942
95,0.08779931584948689,0.5074626865671642,0.5321255279457946
96,0.09007981755986318,0.5074626865671642,0.5316409015169503
97,0.09007981755986318,0.5223880597014925,0.5307208130552901
98,0.09064994298745724,0.5223880597014925,0.530294927521249
99,0.09064994298745724,0.5298507462686567,0.5301673431387671
100,0.09920182440136831,0.5298507462686567,0.5251535081346012
101,0.09920182440136831,0.5373134328358209,0.5249126129131143
102,0.09977194982896237,0.5373134328358209,0.5245599462434706
103,0.09977194982896237,0.5447761194029851,0.5245258312116247
104,0.1031927023945268,0.5447761194029851,0.5228512617165006
105,0.1031927023945268,0.5597014925373134,0.5221267866919904
106,0.11003420752565564,0.5597014925373134,0.5181080918502917
107,0.11003420752565564,0.5671641791044776,0.5175696960373084
108,0.1168757126567845,0.5671641791044776,0.5135308844971099
109,0.1168757126567845,0.5746268656716418,0.5134176369065947
110,0.12542759407069556,0.5746268656716418,0.5097330790047734
111,0.12542759407069556,0.582089552238806,0.5090206171672289
112,0.1265678449258837,0.582089552238806,0.508496412446666
113,0.1265678449258837,0.5895522388059702,0.5084887346647778
114,0.12713797035347776,0.5895522388059702,0.5083671501898653
115,0.12713797035347776,0.5970149253731343,0.5078402438254155
116,0.13854047890535917,0.5970149253731343,0.5017713358174293
117,0.13854047890535917,0.6044776119402985,0.5016863844421177
118,0.14253135689851767,0.6044776119402985,0.4989160173503754
119,0.14253135689851767,0.6119402985074627,0.4988487583768077
120,0.14481185860889395,0.6119402985074627,0.4977636848664701
121,0.14481185860889395,0.6194029850746269,0.4977266692281987
122,0.1516533637400228,0.6194029850746269,0.4954023635744498
123,0.1516533637400228,0.6268656716417911,0.4951904137909056
124,0.15393386545039908,0.6268656716417911,0.4940605663183517
125,0.15393386545039908,0.6343283582089553,0.4933833006923284
126,0.15849486887115166,0.6343283582089553,0.4910624264262199
127,0.15849486887115166,0.6417910447761194,0.491042014250013
128,0.1636259977194983,0.6417910447761194,0.4889466676223981
129,0.1636259977194983,0.6492537313432836,0.4888747542670875
130,0.17274800456100342,0.6492537313432836,0.4853977250359665
131,0.17274800456100342,0.6567164179104478,0.4852661995565621
132,0.17616875712656785,0.6567164179104478,0.4836627641092753
133,0.17616875712656785,0.664179104477612,0.4836497856690991
134,0.17673888255416192,0.664179104477612,0.4834553514191297
135,0.17673888255416192,0.6716417910447762,0.4833820128762339
136,0.18244013683010263,0.6716417910447762,0.4807623918804067
137,0.18244013683010263,0.6791044776119403,0.4805190351347072
