umap_1,umap_2,subcluster
14.9977,-7.5340166,2
8.546504,-16.053682,3
15.343449,-10.522972,0
16.085295,-10.900298,0
12.868359,-9.954168,0
14.084452,-10.839657,0
14.767048,-10.431521,0
10.07432,-14.633558,3
14.265016,-11.368013,1
12.917334,-13.96517,1
16.193943,-9.676855,0
16.243,-10.562903,0
9.635013,-16.54351,3
15.462421,-9.065665,0
13.7838125,-9.691364,0
12.881612,-11.746908,1
15.367003,-12.241479,1
12.199114,-4.1244273,2
13.269424,-6.4719343,2
14.736679,-6.1047115,2
15.125943,-7.579613,2
13.192414,-6.252389,2
13.802451,-14.833507,1
13.603009,-4.5606403,2
12.72178,-13.61309,1
14.303062,-8.031532,0
12.454494,-12.691542,1
14.644142,-6.692747,2
12.204359,-13.056122,1
15.728905,-10.586383,0
15.5060425,-10.84233,0
14.805546,-12.978911,1
14.878149,-9.611892,0
13.954246,-12.420291,1
12.930488,-15.553134,1
14.74635,-12.177741,1
14.649479,-8.392739,0
14.819204,-11.666435,1
9.889525,-14.962949,3
16.780523,-11.721789,0
11.676646,-10.060623,1
16.358582,-9.712852,0
12.586167,-14.256567,1
7.9927487,-16.194124,3
12.910987,-11.404924,1
13.342173,-9.173887,0
14.533945,-11.649231,0
10.087389,-15.415904,3
16.648163,-7.71319,0
12.402866,-7.4034934,2
15.499266,-8.361422,0
16.41832,-8.887733,0
7.652209,-14.975818,3
14.75656,-11.226724,0
13.062559,-11.777061,1
11.231367,-15.264191,3
12.887052,-11.160328,1
15.750225,-7.456215,2
13.050928,-9.393217,0
12.7157135,-13.606354,1
16.147043,-12.664113,1
16.333984,-10.26386,0
12.707511,-12.267143,1
13.413675,-6.477903,2
15.287802,-10.526589,0
14.572555,-12.15621,1
13.610836,-9.533417,0
11.65392,-13.7023,1
15.250468,-8.08287,2
5.4033375,-15.209322,3
15.447124,-8.8394,0
13.751379,-10.446261,0
13.714892,-14.42841,1
12.19275,-4.53926,2
14.370001,-13.431811,1
13.123823,-14.49176,1
16.19851,-9.912617,0
16.072786,-10.575302,0
11.016893,-15.457162,3
14.053884,-9.940604,0
15.600503,-6.552138,2
12.576857,-5.352861,2
13.753442,-10.291498,0
12.132572,-14.363585,1
9.260419,-15.084155,3
16.781616,-11.306202,0
13.239766,-13.138244,1
12.921621,-15.082894,1
13.7888365,-14.562652,1
14.512028,-6.4656725,2
14.876601,-10.054176,0
15.561623,-13.363065,1
13.914072,-9.168884,0
12.118366,-4.231911,2
14.01501,-11.333205,0
13.912372,-14.866832,1
12.871966,-7.8035526,2
13.499377,-14.7268305,1
11.434761,-12.360588,1
