profile_mask_sample,raw_sample,masked_target_type,spot_id,masked_support,masked_support_norm,baseline_target_like_score,route2_target_like_score,rank,baseline_low_score_hit_weight,baseline_running_es,route2_low_score_hit_weight,route2_running_es
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1632_116412,0.0,0.0,0.11536281179138322,0.11536281179138322,604,0.0,0.020050256617634966,0.0,0.04484345689377656
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1634_124572,0.0,0.0,0.07923930269413629,0.07923930269413629,605,0.0,0.01961639831575636,0.0,0.044409598591897956
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1640_125495,0.0,0.0,0.09258632362897765,0.07923930269413629,606,0.0,0.01918254001387775,0.0,0.04397574029001935
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1647_111435,0.0,0.0,0.06357649442755825,0.06357649442755825,607,1.0,0.02308726473078521,1.0,0.0478804650069268
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1648_111472,0.0,0.0,0.07061855670103093,0.07061855670103093,608,0.1805031446540881,0.023436534307140315,0.2156126482213439,0.048382060079256814
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1649_117062,0.0,0.0,0.6375313283208021,0.11536281179138322,609,0.0,0.023002676005261707,0.0,0.047948201777378206
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1651_124570,0.0,0.0,0.5572916666666666,0.09258632362897765,610,0.0,0.0225688177033831,0.0,0.0475143434754996
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1660_125359,0.0,0.0,0.07923930269413629,0.07923930269413629,611,0.0,0.022134959401504492,0.0,0.04708048517362099
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1669_116377,0.0,0.0,0.6375313283208021,0.07923930269413629,612,0.0,0.021701101099625884,0.0,0.04664662687174238
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1670_111510,0.0,0.0,0.6375313283208021,0.06357649442755825,613,0.0,0.021267242797747277,1.0,0.05055135158864984
