file_path,file_type,file_size_mb,detected_role,read_success,n_rows,n_cols,candidate_reference,notes
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_endothelial/stage1_preprocess/exported/sc_expression_normalized.csv,csv,34.058,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_endothelial/stage1_preprocess/exported/st_expression_normalized.csv,csv,28.639,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_excitatory_neuron/stage1_preprocess/exported/sc_expression_normalized.csv,csv,19.602,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_excitatory_neuron/stage1_preprocess/exported/st_expression_normalized.csv,csv,29.117,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_ext_thal_1/stage1_preprocess/exported/sc_expression_normalized.csv,csv,34.616,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_ext_thal_1/stage1_preprocess/exported/st_expression_normalized.csv,csv,28.598,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_ext_thal_2/stage1_preprocess/exported/sc_expression_normalized.csv,csv,34.924,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_ext_thal_2/stage1_preprocess/exported/st_expression_normalized.csv,csv,28.695,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_inhibitory_neuron/stage1_preprocess/exported/sc_expression_normalized.csv,csv,26.065,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_inhibitory_neuron/stage1_preprocess/exported/st_expression_normalized.csv,csv,28.442,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_microglia/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.486,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_microglia/stage1_preprocess/exported/st_expression_normalized.csv,csv,27.797,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_neuroblast/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.339,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_neuroblast/stage1_preprocess/exported/st_expression_normalized.csv,csv,27.875,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_oligodendrocyte_opc/stage1_preprocess/exported/sc_expression_normalized.csv,csv,32.163,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_oligodendrocyte_opc/stage1_preprocess/exported/st_expression_normalized.csv,csv,28.624,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.979,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory/stage1_preprocess/exported/st_expression_normalized.csv,csv,28.681,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_astrocyte/stage1_preprocess/exported/sc_expression_normalized.csv,csv,28.901,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_astrocyte/stage1_preprocess/exported/st_expression_normalized.csv,csv,30.971,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_hippocampal_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv,csv,32.341,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_hippocampal_excitatory/stage1_preprocess/exported/st_expression_normalized.csv,csv,31.12,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_microglia/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.381,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_microglia/stage1_preprocess/exported/st_expression_normalized.csv,csv,30.071,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_oligodendrocyte_opc/stage1_preprocess/exported/sc_expression_normalized.csv,csv,32.028,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_oligodendrocyte_opc/stage1_preprocess/exported/st_expression_normalized.csv,csv,31.007,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_thalamic_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.807,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059052_sc_missing_thalamic_excitatory/stage1_preprocess/exported/st_expression_normalized.csv,csv,30.97,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2c_melanoma/cytospace_fig2c_melanoma_mel1_rep1/stage1_preprocess/exported/sc_expression_normalized.csv,csv,303.207,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2c_melanoma/cytospace_fig2c_melanoma_mel1_rep1/stage1_preprocess/exported/st_expression_normalized.csv,csv,15.177,scRNA_expression,True,,14163.0,True,header read only for Phase 3 inventory
